15.0,10.0,5.0,3.0,2.0,50.4,17.1,4.5,1.8,14.0,17.0,2.0,4.0,4.0,47.4,15.6,5.7,1.5,3
16.0,8.0,6.0,3.0,1.0,52.3,17.4,4.8,1.9,17.0,7.0,8.0,2.0,0.0,51.7,13.2,5.0,3.0,2
14.0,9.0,5.0,3.0,2.0,52.1,17.0,4.4,1.9,17.0,8.0,6.0,0.0,4.0,48.5,13.7,4.2,4.2,4
16.0,7.0,6.0,3.0,1.0,52.5,17.0,4.2,2.1,19.0,13.0,5.0,2.0,3.0,43.0,15.8,3.2,2.5,2
15.0,6.0,6.0,3.0,1.0,52.4,16.8,4.7,2.4,13.0,24.0,3.0,5.0,2.0,41.2,15.3,4.1,2.5,2
19.0,6.0,7.0,2.0,1.0,52.4,17.0,5.0,2.4,10.0,9.0,3.0,3.0,4.0,53.7,13.5,5.5,2.0,1
19.0,4.0,8.0,1.0,1.0,52.1,16.6,5.0,2.5,13.0,9.0,3.0,2.0,5.0,50.3,13.1,5.6,1.5,4
23.0,3.0,9.0,0.0,1.0,52.6,16.6,4.8,3.2,14.0,4.0,7.0,2.0,1.0,53.3,13.7,5.5,2.6,2
21.0,5.0,7.0,1.0,2.0,53.4,16.5,5.7,2.8,7.0,11.0,3.0,3.0,4.0,41.3,17.7,3.6,1.7,4
22.0,5.0,7.0,1.0,2.0,53.9,15.8,6.3,2.3,11.0,13.0,1.0,3.0,6.0,45.5,17.2,4.3,2.2,2
22.0,5.0,7.0,1.0,2.0,53.2,16.5,6.0,2.6,11.0,10.0,3.0,3.0,4.0,54.8,13.6,6.2,2.4,3
19.0,7.0,6.0,2.0,2.0,52.0,16.6,6.5,2.4,13.0,10.0,4.0,3.0,3.0,48.0,13.6,5.7,1.8,1
18.0,7.0,6.0,2.0,2.0,52.0,17.0,6.5,2.2,13.0,10.0,5.0,3.0,2.0,54.7,13.7,6.3,1.5,3
17.0,9.0,5.0,3.0,2.0,52.4,17.6,5.7,2.2,21.0,17.0,4.0,3.0,3.0,57.9,12.8,8.3,2.2,4
23.0,13.0,4.0,4.0,2.0,53.0,15.0,8.1,1.9,12.0,17.0,3.0,5.0,2.0,47.8,12.9,4.2,1.8,3
22.0,15.0,4.0,5.0,1.0,52.8,15.1,7.7,2.0,14.0,15.0,4.0,3.0,3.0,46.7,13.5,3.9,2.3,2
18.0,16.0,4.0,6.0,0.0,52.1,13.8,6.7,1.8,10.0,10.0,3.0,3.0,4.0,50.5,15.0,4.6,2.7,3
17.0,20.0,4.0,6.0,0.0,54.6,13.3,7.1,1.8,13.0,15.0,4.0,5.0,1.0,46.6,15.0,6.1,1.2,2
7.0,18.0,3.0,6.0,1.0,54.4,14.1,5.4,1.7,18.0,19.0,2.0,5.0,3.0,53.6,12.6,4.9,2.4,4
7.0,22.0,3.0,6.0,1.0,52.0,13.9,4.6,1.9,8.0,11.0,3.0,6.0,1.0,52.7,18.6,4.1,2.5,2
8.0,19.0,4.0,5.0,1.0,52.9,14.7,5.1,1.8,12.0,15.0,1.0,4.0,5.0,44.6,14.5,4.3,2.0,3
